,Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Dependents_1,Dependents_2,Dependents_3+,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
57,LP001197,3366,2200.0,135000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,0
58,LP001198,8080,2250.0,180000.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
59,LP001199,3357,2859.0,144000.0,360.0,1.0,1,0,1,0,1,1,0,0,1,1
60,LP001205,2500,3796.0,120000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1
61,LP001206,3029,0.0,99000.0,360.0,1.0,1,0,0,1,1,0,0,0,1,1
62,LP001207,2609,3449.0,165000.0,180.0,0.0,1,0,0,0,1,1,1,0,0,0
63,LP001213,4945,0.0,146412.16216216216,360.0,0.0,1,1,0,0,1,0,0,0,0,0
64,LP001222,4166,0.0,116000.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
65,LP001225,5726,4595.0,258000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,0
66,LP001228,3200,2254.0,126000.0,180.0,0.0,1,0,0,0,0,1,0,0,1,0
67,LP001233,10750,0.0,312000.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
68,LP001238,7100,0.0,125000.0,60.0,1.0,1,0,0,1,1,1,1,0,1,1
69,LP001241,4300,0.0,136000.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
70,LP001243,3208,3066.0,172000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1
71,LP001245,1875,1875.0,97000.0,360.0,1.0,1,0,1,0,1,1,1,1,0,1
72,LP001248,3500,0.0,81000.0,300.0,1.0,1,0,0,0,0,0,0,1,0,1
73,LP001250,4755,0.0,95000.0,342.0,0.0,1,0,0,1,1,1,0,1,0,0
74,LP001253,5266,1774.0,187000.0,360.0,1.0,1,0,0,1,1,0,1,1,0,1
75,LP001255,3750,0.0,113000.0,480.0,1.0,1,0,0,0,0,0,0,0,1,0
76,LP001256,3750,4750.0,176000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
77,LP001259,1000,3022.0,110000.0,360.0,1.0,1,1,0,0,1,0,1,0,1,0
78,LP001263,3167,4000.0,180000.0,300.0,0.0,1,0,0,1,1,0,0,1,0,0
79,LP001264,3333,2166.0,130000.0,360.0,0.8421985815602837,1,0,0,1,1,1,1,1,0,1
80,LP001265,3846,0.0,111000.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
81,LP001266,2395,0.0,146412.16216216216,360.0,1.0,1,1,0,0,1,0,1,1,0,1
82,LP001267,1378,1881.0,167000.0,360.0,1.0,0,0,1,0,1,0,0,0,1,0
83,LP001273,6000,2250.0,265000.0,360.0,0.8421985815602837,1,0,0,0,1,0,0,1,0,0
84,LP001275,3988,0.0,50000.0,240.0,1.0,1,1,0,0,1,0,0,0,1,1
85,LP001279,2366,2531.0,136000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
86,LP001280,3333,2000.0,99000.0,360.0,0.8421985815602837,1,0,1,0,1,1,0,1,0,1
87,LP001282,2500,2118.0,104000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
88,LP001289,8566,0.0,210000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
89,LP001310,5695,4167.0,175000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
90,LP001316,2958,2900.0,131000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
91,LP001318,6250,5654.0,188000.0,180.0,1.0,1,0,1,0,1,0,0,1,0,1
92,LP001319,3273,1820.0,81000.0,360.0,1.0,1,0,1,0,1,1,0,0,1,1
93,LP001322,4133,0.0,122000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
94,LP001325,3620,0.0,25000.0,120.0,1.0,1,0,0,0,0,1,0,1,0,1
95,LP001326,6782,0.0,146412.16216216216,360.0,0.8421985815602837,1,0,0,0,0,0,0,0,1,0
96,LP001327,2484,2302.0,137000.0,360.0,1.0,0,0,0,0,1,0,0,1,0,1
97,LP001333,1977,997.0,50000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
98,LP001334,4188,0.0,115000.0,180.0,1.0,1,0,0,0,1,1,0,1,0,1
99,LP001343,1759,3541.0,131000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
100,LP001345,4288,3263.0,133000.0,180.0,1.0,1,0,1,0,1,1,0,0,1,1
101,LP001349,4843,3806.0,151000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
102,LP001350,13650,0.0,146412.16216216216,360.0,1.0,1,0,0,0,1,0,0,0,1,1
103,LP001356,4652,3583.0,146412.16216216216,360.0,1.0,1,0,0,0,1,0,0,1,0,1
104,LP001357,3816,754.0,160000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
105,LP001367,3052,1030.0,100000.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
106,LP001369,11417,1126.0,225000.0,360.0,1.0,1,0,1,0,1,0,0,0,1,1
107,LP001370,7333,0.0,120000.0,360.0,1.0,1,0,0,0,0,1,0,0,0,0
108,LP001379,3800,3600.0,216000.0,360.0,0.0,1,0,1,0,1,0,0,0,1,0
109,LP001384,2071,754.0,94000.0,480.0,1.0,1,0,0,1,1,1,0,1,0,1
110,LP001385,5316,0.0,136000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
111,LP001387,2929,2333.0,139000.0,360.0,1.0,0,0,0,0,1,0,0,1,0,1
112,LP001391,3572,4114.0,152000.0,342.0,0.0,1,0,0,0,1,1,0,0,0,0
113,LP001392,7451,0.0,146412.16216216216,360.0,1.0,0,1,0,0,0,0,1,1,0,1
114,LP001398,5050,0.0,118000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
115,LP001401,14583,0.0,185000.0,180.0,1.0,1,1,0,0,1,0,0,0,0,1
116,LP001404,3167,2283.0,154000.0,360.0,1.0,0,0,0,0,1,0,0,1,0,1
117,LP001405,2214,1398.0,85000.0,360.0,0.8421985815602837,1,1,0,0,1,0,0,0,1,1
118,LP001421,5568,2142.0,175000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,0
119,LP001422,10408,0.0,259000.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
120,LP001426,5667,2667.0,180000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,1
121,LP001430,4166,0.0,44000.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
122,LP001431,2137,8980.0,137000.0,360.0,0.0,0,0,0,0,0,0,0,1,0,1
123,LP001432,2957,0.0,81000.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1
124,LP001439,4300,2014.0,194000.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1
125,LP001443,3692,0.0,93000.0,360.0,0.8421985815602837,0,0,0,0,0,0,0,0,0,1
126,LP001448,23803,0.0,370000.0,360.0,1.0,0,0,0,1,1,0,0,0,0,1
127,LP001449,3865,1640.0,146412.16216216216,360.0,1.0,1,0,0,0,0,0,0,0,0,1
128,LP001451,10513,3850.0,160000.0,180.0,0.0,1,1,0,0,1,0,1,0,1,0
129,LP001465,6080,2569.0,182000.0,360.0,0.8421985815602837,1,0,0,0,1,0,0,0,0,0
130,LP001469,20166,0.0,650000.0,480.0,0.8421985815602837,1,0,0,0,0,0,1,0,1,1
131,LP001473,2014,1929.0,74000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
132,LP001478,2718,0.0,70000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
133,LP001482,3459,0.0,25000.0,120.0,1.0,1,0,0,0,1,0,1,1,0,1
134,LP001487,4895,0.0,102000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
135,LP001488,4000,7750.0,290000.0,360.0,1.0,1,0,0,1,1,0,0,1,0,0
136,LP001489,4583,0.0,84000.0,360.0,1.0,0,0,0,0,1,0,0,0,0,0
137,LP001491,3316,3500.0,88000.0,360.0,1.0,1,0,1,0,1,0,1,0,1,1
138,LP001492,14999,0.0,242000.0,360.0,0.0,1,0,0,0,0,0,0,1,0,0
139,LP001493,4200,1430.0,129000.0,360.0,1.0,1,0,1,0,1,1,0,0,0,0
140,LP001497,5042,2083.0,185000.0,360.0,1.0,1,0,1,0,1,0,0,0,0,0
141,LP001498,5417,0.0,168000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
142,LP001504,6950,0.0,175000.0,180.0,1.0,1,0,0,0,0,0,1,1,0,1
143,LP001507,2698,2034.0,122000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
144,LP001508,11757,0.0,187000.0,180.0,1.0,1,0,1,0,1,0,0,0,1,1
145,LP001514,2330,4486.0,100000.0,360.0,1.0,0,0,0,0,1,0,0,1,0,1
146,LP001516,14866,0.0,70000.0,360.0,1.0,0,0,1,0,1,0,0,0,1,1
147,LP001518,1538,1425.0,30000.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
148,LP001519,10000,1666.0,225000.0,360.0,1.0,0,0,0,0,0,0,0,0,0,0
149,LP001520,4860,830.0,125000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
150,LP001528,6277,0.0,118000.0,360.0,0.0,1,0,0,0,0,0,0,0,0,0
151,LP001529,2577,3750.0,152000.0,360.0,1.0,1,0,0,0,1,0,1,0,0,1
152,LP001531,9166,0.0,244000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
153,LP001532,2281,0.0,113000.0,360.0,1.0,1,0,1,0,1,1,0,0,0,0
154,LP001535,3254,0.0,50000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
155,LP001536,39999,0.0,600000.0,180.0,0.0,1,0,0,1,1,0,0,1,0,1
156,LP001541,6000,0.0,160000.0,360.0,0.8421985815602837,1,1,0,0,1,0,0,0,0,1
157,LP001543,9538,0.0,187000.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
158,LP001546,2980,2083.0,120000.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
159,LP001552,4583,5625.0,255000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
160,LP001560,1863,1041.0,98000.0,360.0,1.0,1,0,0,0,1,1,0,1,0,1
161,LP001562,7933,0.0,275000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,0
162,LP001565,3089,1280.0,121000.0,360.0,0.0,1,1,0,0,1,0,0,1,0,0
163,LP001570,4167,1447.0,158000.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1
164,LP001572,9323,0.0,75000.0,180.0,1.0,1,0,0,0,1,0,0,0,1,1
165,LP001574,3707,3166.0,182000.0,342.0,1.0,1,0,0,0,1,0,0,0,0,1
166,LP001577,4583,0.0,112000.0,360.0,1.0,0,0,0,0,1,0,0,0,0,0
167,LP001578,2439,3333.0,129000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,1
168,LP001579,2237,0.0,63000.0,480.0,0.0,1,0,0,0,0,0,0,1,0,0
169,LP001580,8000,0.0,200000.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1
170,LP001581,1820,1769.0,95000.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1
171,LP001585,51763,0.0,700000.0,300.0,1.0,0,0,0,1,1,0,0,0,1,1
172,LP001586,3522,0.0,81000.0,180.0,1.0,1,0,0,1,1,1,0,0,0,0
173,LP001594,5708,5625.0,187000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
174,LP001603,4344,736.0,87000.0,360.0,1.0,1,0,0,0,1,1,1,1,0,0
175,LP001606,3497,1964.0,116000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,1
176,LP001608,2045,1619.0,101000.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1
177,LP001610,5516,11300.0,495000.0,360.0,0.0,1,0,0,1,1,0,0,1,0,0
178,LP001616,3750,0.0,116000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,1
179,LP001630,2333,1451.0,102000.0,480.0,0.0,1,0,0,0,0,1,0,0,1,0
180,LP001633,6400,7250.0,180000.0,360.0,0.0,1,1,0,0,1,0,0,0,1,0
181,LP001634,1916,5063.0,67000.0,360.0,0.8421985815602837,1,0,0,0,0,0,0,0,0,0
182,LP001636,4600,0.0,73000.0,180.0,1.0,1,0,0,0,1,0,0,1,0,1
183,LP001637,33846,0.0,260000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,0
184,LP001639,3625,0.0,108000.0,360.0,1.0,0,0,0,0,1,0,0,1,0,1
185,LP001640,39147,4750.0,120000.0,360.0,1.0,1,0,0,0,1,0,1,1,0,1
186,LP001641,2178,0.0,66000.0,300.0,0.0,1,1,0,0,1,0,1,0,0,0
187,LP001643,2383,2138.0,58000.0,360.0,0.8421985815602837,1,0,0,0,1,0,0,0,0,1
188,LP001644,674,5296.0,168000.0,360.0,1.0,0,0,0,0,1,0,1,0,0,1
189,LP001647,9328,0.0,188000.0,180.0,1.0,1,0,0,0,1,0,0,0,0,1
190,LP001653,4885,0.0,48000.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
191,LP001656,12000,0.0,164000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,0
192,LP001657,6033,0.0,160000.0,360.0,1.0,1,0,0,0,1,1,0,0,1,0
193,LP001658,3858,0.0,76000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
194,LP001664,4191,0.0,120000.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
195,LP001665,3125,2583.0,170000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,0
196,LP001666,8333,3750.0,187000.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
197,LP001669,1907,2365.0,120000.0,342.0,1.0,0,0,0,0,0,1,0,0,1,1
198,LP001671,3416,2816.0,113000.0,360.0,0.8421985815602837,0,0,0,0,1,0,0,1,0,1
199,LP001673,11000,0.0,83000.0,360.0,1.0,1,0,0,0,0,0,1,0,1,0
200,LP001674,2600,2500.0,90000.0,360.0,1.0,1,1,0,0,1,1,0,1,0,1
201,LP001677,4923,0.0,166000.0,360.0,0.0,1,0,1,0,0,0,0,1,0,1
202,LP001682,3992,0.0,146412.16216216216,180.0,1.0,1,0,0,1,1,1,0,0,1,0
203,LP001688,3500,1083.0,135000.0,360.0,1.0,1,1,0,0,1,1,0,0,1,1
204,LP001691,3917,0.0,124000.0,360.0,1.0,1,0,1,0,1,1,0,1,0,1
205,LP001692,4408,0.0,120000.0,360.0,1.0,0,0,0,0,0,1,0,1,0,1
206,LP001693,3244,0.0,80000.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
207,LP001698,3975,2531.0,55000.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
208,LP001699,2479,0.0,59000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
209,LP001702,3418,0.0,127000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,0
210,LP001708,10000,0.0,214000.0,360.0,1.0,0,0,0,0,0,0,0,1,0,0
211,LP001711,3430,1250.0,128000.0,360.0,0.0,1,0,0,1,1,0,0,1,0,0
212,LP001713,7787,0.0,240000.0,360.0,1.0,1,1,0,0,1,0,1,0,1,1
213,LP001715,5703,0.0,130000.0,360.0,1.0,1,0,0,1,1,1,1,0,0,1
214,LP001716,3173,3021.0,137000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1
215,LP001720,3850,983.0,100000.0,360.0,1.0,1,0,0,1,1,1,0,1,0,1
216,LP001722,150,1800.0,135000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,0
217,LP001726,3727,1775.0,131000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
218,LP001732,5000,0.0,72000.0,360.0,0.0,1,0,1,0,1,0,0,1,0,0
219,LP001734,4283,2383.0,127000.0,360.0,0.8421985815602837,0,0,1,0,1,0,0,1,0,1
220,LP001736,2221,0.0,60000.0,360.0,0.0,1,0,0,0,1,0,0,0,1,0
221,LP001743,4009,1717.0,116000.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1
222,LP001744,2971,2791.0,144000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
223,LP001749,7578,1010.0,175000.0,342.0,1.0,1,0,0,0,1,0,0,1,0,1
224,LP001750,6250,0.0,128000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
225,LP001751,3250,0.0,170000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,0
226,LP001754,4735,0.0,138000.0,360.0,1.0,1,0,0,0,1,1,1,0,1,0
227,LP001758,6250,1695.0,210000.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1
228,LP001760,4758,0.0,158000.0,480.0,1.0,1,0,0,0,0,0,0,1,0,1
229,LP001761,6400,0.0,200000.0,360.0,1.0,1,0,0,0,0,0,1,0,0,1
230,LP001765,2491,2054.0,104000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,1
231,LP001768,3716,0.0,42000.0,180.0,1.0,1,0,0,0,1,0,0,0,0,1
232,LP001770,3189,2598.0,120000.0,342.0,1.0,1,0,0,0,0,1,0,0,0,1
233,LP001776,8333,0.0,280000.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
234,LP001778,3155,1779.0,140000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,1
235,LP001784,5500,1260.0,170000.0,360.0,1.0,1,1,0,0,1,0,0,0,0,1
236,LP001786,5746,0.0,255000.0,360.0,0.8421985815602837,1,0,0,0,1,0,0,0,1,0
237,LP001788,3463,0.0,122000.0,360.0,0.8421985815602837,0,0,0,0,0,0,1,0,1,1
238,LP001790,3812,0.0,112000.0,360.0,1.0,0,1,0,0,0,0,0,0,0,1
239,LP001792,3315,0.0,96000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,1
240,LP001798,5819,5000.0,120000.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1
241,LP001800,2510,1983.0,140000.0,180.0,1.0,1,1,0,0,1,1,0,0,1,0
242,LP001806,2965,5701.0,155000.0,60.0,1.0,1,0,0,0,0,0,0,0,1,1
243,LP001807,6250,1300.0,108000.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1
244,LP001811,3406,4417.0,123000.0,360.0,1.0,1,0,0,0,1,1,0,1,0,1
245,LP001813,6050,4333.0,120000.0,180.0,1.0,1,0,0,0,0,0,1,0,1,0
246,LP001814,9703,0.0,112000.0,360.0,1.0,1,0,1,0,1,0,0,0,1,1
247,LP001819,6608,0.0,137000.0,180.0,1.0,1,1,0,0,1,1,0,0,1,1
248,LP001824,2882,1843.0,123000.0,480.0,1.0,1,1,0,0,1,0,0,1,0,1
249,LP001825,1809,1868.0,90000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1
250,LP001835,1668,3890.0,201000.0,360.0,0.0,1,0,0,0,1,1,0,1,0,0
251,LP001836,3427,0.0,138000.0,360.0,1.0,0,0,1,0,0,0,0,0,1,0
252,LP001841,2583,2167.0,104000.0,360.0,1.0,1,0,0,0,0,1,1,0,0,1
253,LP001843,2661,7101.0,279000.0,180.0,1.0,1,1,0,0,1,1,0,1,0,1
254,LP001844,16250,0.0,192000.0,360.0,0.0,1,0,0,0,0,0,1,0,1,0
255,LP001846,3083,0.0,255000.0,360.0,1.0,0,0,0,1,0,0,0,0,0,1
256,LP001849,6045,0.0,115000.0,360.0,0.0,1,0,0,0,0,1,0,0,0,0
257,LP001854,5250,0.0,94000.0,360.0,1.0,1,0,0,1,1,0,0,0,1,0
258,LP001859,14683,2100.0,304000.0,360.0,1.0,1,0,0,0,1,0,0,0,0,0
259,LP001864,4931,0.0,128000.0,360.0,0.8421985815602837,1,0,0,1,1,1,0,1,0,0
260,LP001865,6083,4250.0,330000.0,360.0,0.8421985815602837,1,1,0,0,1,0,0,0,1,1
261,LP001868,2060,2209.0,134000.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
262,LP001870,3481,0.0,155000.0,36.0,1.0,0,1,0,0,0,0,0,1,0,0
263,LP001871,7200,0.0,120000.0,360.0,1.0,0,0,0,0,0,0,0,0,0,1
264,LP001872,5166,0.0,128000.0,360.0,1.0,1,0,0,0,0,0,1,1,0,1
265,LP001875,4095,3447.0,151000.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
266,LP001877,4708,1387.0,150000.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1
267,LP001882,4333,1811.0,160000.0,360.0,0.0,1,0,0,1,1,0,0,0,1,1
268,LP001883,3418,0.0,135000.0,360.0,1.0,0,0,0,0,0,0,0,0,0,0
269,LP001884,2876,1560.0,90000.0,360.0,1.0,0,1,0,0,0,0,0,0,1,1
270,LP001888,3237,0.0,30000.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
271,LP001891,11146,0.0,136000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1
272,LP001892,2833,1857.0,126000.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
273,LP001894,2620,2223.0,150000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
274,LP001896,3900,0.0,90000.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1
275,LP001900,2750,1842.0,115000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,1
276,LP001903,3993,3274.0,207000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
277,LP001904,3103,1300.0,80000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1
278,LP001907,14583,0.0,436000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
279,LP001908,4100,0.0,124000.0,360.0,0.8421985815602837,0,0,0,0,1,1,0,0,0,1
280,LP001910,4053,2426.0,158000.0,360.0,0.0,1,1,0,0,0,1,1,0,1,0
281,LP001914,3927,800.0,112000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
282,LP001915,2301,985.7999877999998,78000.0,180.0,1.0,1,0,1,0,1,0,0,0,1,1
283,LP001917,1811,1666.0,54000.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
284,LP001922,20667,0.0,146412.16216216216,360.0,1.0,1,0,0,0,1,0,0,0,0,0
